strategy,horizon_years,block_days,metric,statistic,value
LEAPS_80_25_TREASURY_ROLL_18M,20,63,terminal_wealth,p10,4.048756029
LEAPS_80_25_TREASURY_ROLL_18M,20,63,terminal_wealth,p50,10.03883092
LEAPS_80_25_TREASURY_ROLL_18M,20,63,terminal_wealth,p90,24.69380563
LEAPS_80_25_TREASURY_ROLL_18M,20,63,terminal_wealth,p95,31.77812114
LEAPS_80_25_TREASURY_ROLL_18M,20,63,terminal_wealth,mean,12.85977333
LEAPS_85_30_TREASURY_ROLL_9M,20,63,cagr,p5,0.05823895705
LEAPS_85_30_TREASURY_ROLL_9M,20,63,cagr,p10,0.07325359644
LEAPS_85_30_TREASURY_ROLL_9M,20,63,cagr,p50,0.1324659102
LEAPS_85_30_TREASURY_ROLL_9M,20,63,cagr,p90,0.1949641459
LEAPS_85_30_TREASURY_ROLL_9M,20,63,cagr,p95,0.2128803956
LEAPS_85_30_TREASURY_ROLL_9M,20,63,cagr,mean,0.133664273
LEAPS_85_30_TREASURY_ROLL_9M,20,63,terminal_wealth,p5,3.10223654
LEAPS_85_30_TREASURY_ROLL_9M,20,63,terminal_wealth,p10,4.111942723
LEAPS_85_30_TREASURY_ROLL_9M,20,63,terminal_wealth,p50,12.03657073
LEAPS_85_30_TREASURY_ROLL_9M,20,63,terminal_wealth,p90,35.24500018
LEAPS_85_30_TREASURY_ROLL_9M,20,63,terminal_wealth,p95,47.46347471
LEAPS_85_30_TREASURY_ROLL_9M,20,63,terminal_wealth,mean,17.16023444
LEAPS_85_30_TREASURY,20,63,cagr,p5,0.05913847757
LEAPS_85_30_TREASURY,20,63,cagr,p10,0.07425518159
LEAPS_85_30_TREASURY,20,63,cagr,p50,0.1343765115
LEAPS_85_30_TREASURY,20,63,cagr,p90,0.1990428506
LEAPS_85_30_TREASURY,20,63,cagr,p95,0.2172541495
LEAPS_85_30_TREASURY,20,63,cagr,mean,0.1361413446
LEAPS_85_30_TREASURY,20,63,terminal_wealth,p5,3.155403917
LEAPS_85_30_TREASURY,20,63,terminal_wealth,p10,4.189374248
LEAPS_85_30_TREASURY,20,63,terminal_wealth,p50,12.44928797
LEAPS_85_30_TREASURY,20,63,terminal_wealth,p90,37.73063371
LEAPS_85_30_TREASURY,20,63,terminal_wealth,p95,51.00647534
LEAPS_85_30_TREASURY,20,63,terminal_wealth,mean,18.32762725
LEAPS_85_30_TREASURY_ROLL_18M,20,63,cagr,p5,0.05828079296
LEAPS_85_30_TREASURY_ROLL_18M,20,63,cagr,p10,0.07384770582
LEAPS_85_30_TREASURY_ROLL_18M,20,63,cagr,p50,0.1368361716
LEAPS_85_30_TREASURY_ROLL_18M,20,63,cagr,p90,0.2034156872
LEAPS_85_30_TREASURY_ROLL_18M,20,63,cagr,p95,0.2226093953
LEAPS_85_30_TREASURY_ROLL_18M,20,63,cagr,mean,0.1385495942
LEAPS_85_30_TREASURY_ROLL_18M,20,63,terminal_wealth,p5,3.104692544
LEAPS_85_30_TREASURY_ROLL_18M,20,63,terminal_wealth,p10,4.157706936
LEAPS_85_30_TREASURY_ROLL_18M,20,63,terminal_wealth,p50,13.00043046
LEAPS_85_30_TREASURY_ROLL_18M,20,63,terminal_wealth,p90,40.58012405
LEAPS_85_30_TREASURY_ROLL_18M,20,63,terminal_wealth,p95,55.68709868
LEAPS_85_30_TREASURY_ROLL_18M,20,63,terminal_wealth,mean,19.58989634
LEAPS_95_50_TREASURY_ROLL_9M,20,63,cagr,p5,0.0288097428
LEAPS_95_50_TREASURY_ROLL_9M,20,63,cagr,p10,0.05796161466
LEAPS_95_50_TREASURY_ROLL_9M,20,63,cagr,p50,0.1676545478
LEAPS_95_50_TREASURY_ROLL_9M,20,63,cagr,p90,0.2891719544
LEAPS_95_50_TREASURY_ROLL_9M,20,63,cagr,p95,0.3271391319
LEAPS_95_50_TREASURY_ROLL_9M,20,63,cagr,mean,0.1715332719
LEAPS_95_50_TREASURY_ROLL_9M,20,63,terminal_wealth,p5,1.764824807
LEAPS_95_50_TREASURY_ROLL_9M,20,63,terminal_wealth,p10,3.086016317
LEAPS_95_50_TREASURY_ROLL_9M,20,63,terminal_wealth,p50,22.19665594
LEAPS_95_50_TREASURY_ROLL_9M,20,63,terminal_wealth,p90,160.7744303
LEAPS_95_50_TREASURY_ROLL_9M,20,63,terminal_wealth,p95,287.2960386
LEAPS_95_50_TREASURY_ROLL_9M,20,63,terminal_wealth,mean,80.12186555
LEAPS_95_50_TREASURY,20,63,cagr,p5,0.02430997859
LEAPS_95_50_TREASURY,20,63,cagr,p10,0.05406955865
LEAPS_95_50_TREASURY,20,63,cagr,p50,0.1688341317
LEAPS_95_50_TREASURY,20,63,cagr,p90,0.2962654648
LEAPS_95_50_TREASURY,20,63,cagr,p95,0.3375072951
LEAPS_95_50_TREASURY,20,63,cagr,mean,0.173588434
