signal,lag,signal_close,execution_close,first_affected_return,into,upro_return,sp500_return,other_signal_state,signals_disagree,audit_period
total_return,2,2016-06-27,2016-06-28,2016-06-29,risk_off,0.0513788575,0.01716009093,0,False,2015-2016
total_return,2,2016-06-28,2016-06-29,2016-06-30,UPRO,0.04059328651,0.01356539091,1,False,2015-2016
total_return,2,2018-10-11,2018-10-12,2018-10-15,risk_off,-0.01784981535,-0.00588300429,0,False,2018
total_return,2,2018-10-12,2018-10-15,2018-10-16,UPRO,0.06454982244,0.02152402915,1,False,2018
total_return,2,2018-10-23,2018-10-24,2018-10-25,risk_off,0.05533504553,0.01862282587,0,False,2018
total_return,2,2018-11-06,2018-11-07,2018-11-08,UPRO,-0.006523028266,-0.001984557582,0,True,2018
total_return,2,2018-11-12,2018-11-13,2018-11-14,risk_off,-0.02206203582,-0.007308150308,0,False,2018
total_return,2,2018-11-28,2018-11-29,2018-11-30,UPRO,0.02480051758,0.008359253429,0,True,2018
total_return,2,2018-11-29,2018-11-30,2018-12-03,risk_off,0.03282828283,0.01094190365,0,False,2018
total_return,2,2018-11-30,2018-12-03,2018-12-04,UPRO,-0.09718826406,-0.03230804018,0,True,2018
